,source,target,distance
0,0,541,0.045078070493497144
1,0,757,0.059103975788763974
2,1,781,0.05589448532728499
3,1,215,0.06160433039618356
4,1,696,0.06345081487040925
5,1,675,0.06436503367182674
6,1,420,0.06853988991196432
7,1,194,0.07047839632462191
8,1,227,0.07649801191520281
9,1,454,0.07678463947685708
10,1,118,0.0791538901245528
11,1,363,0.08068551612811267
12,1,388,0.08222849502143297
13,1,760,0.08522424424356739
14,1,36,0.08694350751536713
15,1,935,0.08838588141042523
16,2,491,0.010044191627293017
17,2,638,0.013706210472846819
18,2,170,0.018088594703940575
19,2,233,0.02726544806016567
20,2,131,0.02974963103325706
21,2,629,0.03740368313685198
22,2,41,0.04458331739621928
23,2,98,0.044600628552206506
24,2,209,0.05266004767250321
25,2,945,0.08232974253294904
26,2,43,0.08274512185059846
27,2,887,0.08333674385496599
28,2,254,0.08762439009154172
29,3,777,0.010007715422459821
30,3,752,0.01124853866066403
31,3,443,0.04685676020989442
32,3,741,0.06751306194789138
33,4,841,0.033305992049235913
34,4,875,0.06963684231819983
35,4,12,0.07688771249591322
36,4,554,0.07745730722447865
37,6,490,0.014641927384457161
38,6,536,0.02354183884129953
39,6,585,0.04165071533402454
40,6,417,0.044650410586472275
41,7,846,0.03916282002535945
42,7,494,0.07002468474379621
43,7,924,0.08265814448541511
44,8,624,0.01661940343983982
45,8,961,0.047818484924098584
46,9,454,0.0030224004911844687
47,9,227,0.0032065299328316163
48,9,445,0.0035324382659670177
49,9,935,0.0054622324870496645
50,9,696,0.005512354913599443
51,9,286,0.0079365999328272
52,9,118,0.009013997986434728
53,9,388,0.01617922184236635
54,9,628,0.01629874723104402
55,9,775,0.01632251367610301
56,9,319,0.018377594285271436
57,9,367,0.01867880048565583
58,9,713,0.021698831867484236
59,9,781,0.023881733588927128
60,9,194,0.024000809026555284
61,9,420,0.027351679905335054
62,9,1014,0.030840380621421956
63,9,215,0.0314113940764703
64,9,675,0.03658713305843306
65,9,36,0.04461081923710711
66,9,601,0.06240617327159702
67,9,299,0.06454065057862829
68,9,760,0.0649666206221853
69,9,744,0.07050991727722535
70,9,998,0.07402773342565305
71,9,159,0.07455451444565173
72,9,204,0.08189662461612678
73,9,808,0.08565823497222619
74,9,915,0.08636224439350279
75,9,548,0.0866158129065013
76,10,532,0.018957923902386233
77,10,668,0.019406883675583377
78,10,130,0.02657519798263281
79,10,258,0.03981881135593999
80,10,478,0.06417752665704689
81,11,612,0.008080718658671278
82,11,268,0.01294001850223045
83,11,551,0.02448433971197126
84,11,331,0.04307437392353021
85,11,320,0.0708927461056221
86,12,554,0.000924575247423662
87,12,325,0.007090857449842636
88,12,999,0.011308141526922427
89,12,237,0.012813747720094318
90,12,512,0.015177736908407747
91,12,857,0.023347666109948324
92,12,619,0.03141483769363573
93,12,680,0.03806811269163504
94,12,959,0.04094432902245208
95,12,875,0.04689985476858852
96,12,518,0.04928341673081718
97,12,230,0.049363100939810715
98,12,252,0.05432009181780441
99,12,386,0.05450970961923097
100,12,841,0.0602501331076743
101,12,579,0.06326728534375627
102,12,814,0.06421918761533485
103,12,879,0.06487406936097925
104,12,753,0.07027924516023046
105,12,699,0.07076227186022338
106,12,719,0.0750569166209512
107,12,4,0.07688771249591322
108,12,68,0.08200993298931372
109,13,893,0.00810786700863814
110,13,1017,0.03671999974721909
111,13,360,0.046873541666430596
112,13,647,0.06645249832308926
113,13,906,0.07398898753566613
114,13,963,0.08392158579474746
115,13,623,0.08409344139287146
116,13,285,0.08734991482095036
117,14,754,0.019458674640257273
118,14,436,0.04410652424807809
119,14,224,0.057757173380449084
120,14,502,0.05897910907656163
121,15,434,0.014784236909976134
122,15,361,0.022058242591994025
123,15,513,0.04017895694032413
124,15,265,0.051939017860076944
125,15,46,0.07531776306997949
126,15,438,0.08169264206168608
127,15,120,0.0821064903197733
128,16,305,0.01680937523423375
129,16,987,0.029648131735690517
130,16,324,0.03878126426743149
131,17,581,0.0016923814200316774
132,17,955,0.038895203859479116
133,17,486,0.0755340805783188
134,17,953,0.07936795950879835
135,17,384,0.08019774823983047
136,17,395,0.08908390668917393
137,18,643,0.011712712154430526
138,18,543,0.024309076365013824
139,18,99,0.03331664137497391
140,18,39,0.03364286513990384
141,18,128,0.034777132328500424
142,18,736,0.042095879073696094
143,18,500,0.04329086777721356
144,18,768,0.052896865158950174
145,18,270,0.0737046016801404
146,18,979,0.07925136658430121
147,18,593,0.08269889138859698
148,18,817,0.08391099846315325
149,19,313,0.02967580594957593
150,19,92,0.03729316899432951
151,19,437,0.040007539728788837
152,20,341,0.03904067094073369
153,20,820,0.08194893968060765
154,21,603,0.007407869842461128
155,21,401,0.017189145354134565
156,21,514,0.038712427197649016
157,21,144,0.06719361161636297
158,21,53,0.0791099616820799
159,21,958,0.08510024437108811
160,21,562,0.08745730640343911
161,22,791,0.06445759033987812
162,22,136,0.06908303391197926
163,22,360,0.08605945125688085
164,22,285,0.08816288839245576
165,23,272,0.06836030065850023
166,23,489,0.0694075765020766
167,24,580,0.027347378218959086
168,24,289,0.03882353800222954
169,24,630,0.08437468248833153
170,24,555,0.08517592152257934
171,25,106,0.035420255035021046
172,26,295,0.00557008231863831
173,26,855,0.0067173339014337426
174,26,148,0.013859352173568361
175,26,884,0.019935606966902962
176,26,261,0.024782519914118162
177,26,634,0.027172681315875934
178,26,342,0.030732870615389297
179,26,771,0.031058735677979964
180,26,697,0.0329846833170743
181,26,606,0.05761510891537606
182,26,428,0.06705484495453207
183,26,918,0.07450811763014455
184,26,867,0.08793637907037899
185,26,962,0.08858853293451949
186,27,180,0.04164384111516678
187,28,280,0.036320743085930945
188,28,463,0.05834957571959106
189,29,869,0.024594465430696134
190,29,365,0.02985177504326282
191,29,933,0.08797872519083892
192,30,768,0.017995866928029895
193,30,588,0.030494767015577722
194,30,427,0.035450013862351866
195,30,39,0.051617390245225145
196,30,99,0.055484419451351755
197,30,543,0.059196980849575045
198,30,593,0.06174184662038455
199,30,806,0.08140978642240183
200,30,128,0.08944317256723737
201,31,537,0.025375892974506015
202,31,663,0.07983570901516529
203,32,395,0.00279678051889294
204,32,724,0.004813638808133579
205,32,718,0.04820843682342501
206,32,384,0.05130121235569735
207,33,553,0.008459843699441893
208,33,329,0.021795119144270673
209,33,692,0.04638918731589848
210,33,535,0.056296704125429975
211,34,977,0.01977086452293135
212,34,648,0.04444595309578761
213,34,608,0.0858173705181614
214,35,218,0.04899917156850617
215,35,712,0.06015660416401958
216,35,840,0.07138567486857411
217,35,238,0.07920878761837755
218,36,215,0.005058783452372487
219,36,760,0.005892202609265602
220,36,194,0.006334058205116162
221,36,675,0.006523357822710727
222,36,781,0.00787234534084533
223,36,775,0.010435423884335071
224,36,628,0.011915918010867914
225,36,367,0.013299675257699274
226,36,713,0.016154899853844246
227,36,935,0.01946868284967255
228,36,696,0.023841057813597567
229,36,744,0.03234291303806809
230,36,454,0.033019253332249934
231,36,601,0.033068704275973124
232,36,758,0.03400331770294039
233,36,548,0.036856929495882144
234,36,420,0.03748951459217598
235,36,118,0.040173811564506806
236,36,227,0.044287464678301795
237,36,9,0.04461081923710711
238,36,388,0.0449437244937446
239,36,445,0.04997407052413211
240,36,765,0.0526630408610134
241,36,159,0.0568525543190649
242,36,286,0.06127417208027021
243,36,472,0.06210078900965341
244,36,299,0.06642063363976874
245,36,314,0.077719294515051
246,36,319,0.0800218750516424
247,36,1014,0.08619462321636379
248,36,1,0.08694350751536713
249,37,778,0.008655470365112956
250,37,125,0.027660915302777467
251,37,837,0.05164564601676256
252,37,653,0.055576868749254146
253,37,669,0.08147977239899996
254,38,595,0.025452181623885135
255,38,654,0.056605273882130026
256,39,128,0.0064102699507846035
257,39,99,0.006583414056164296
258,39,768,0.010928400161441903
259,39,427,0.02667193998335735
260,39,543,0.030395045264882587
261,39,18,0.03364286513990384
262,39,806,0.04970701591874653
263,39,30,0.051617390245225145
264,39,643,0.0635348980669322
265,39,736,0.0712024345830258
266,39,326,0.0737164104888257
267,39,985,0.08405802061855637
268,39,270,0.08412656716769705
269,39,593,0.08873912196884015
270,40,780,0.02737730112517095
271,40,242,0.04272656429531295
272,40,649,0.06660710561742691
273,40,566,0.06697881298089017
274,41,209,0.02823583631098233
275,41,491,0.044069325356284016
276,41,2,0.04458331739621928
277,41,671,0.05764717864517344
278,41,131,0.06506081364198785
279,41,43,0.07665854760999254
280,41,170,0.0770406788401665
281,41,254,0.08261494372628485
282,41,887,0.08925922028941834
283,42,460,0.036806546310975095
284,42,644,0.06330147820624019
285,42,294,0.06653484969404017
286,42,489,0.0775962822814177
287,43,254,0.0015800376135284798
288,43,887,0.009359767422907757
289,43,152,0.01566372220988093
290,43,535,0.032621552401776444
291,43,1001,0.03758556024073185
292,43,69,0.04007114993127534
293,43,413,0.048720556666224164
294,43,589,0.05658883457361938
295,43,115,0.060386310970644355
296,43,921,0.06718568357621532
297,43,370,0.07632291078855052
298,43,41,0.07665854760999254
299,43,491,0.08060309257508583
300,43,2,0.08274512185059846
301,44,274,0.01749773002618418
302,44,925,0.019419086793371322
303,44,188,0.028572243340211672
304,44,87,0.04387881785512629
305,44,731,0.07209015804538219
306,45,939,0.018602704299450424
307,45,130,0.04231062257117804
308,45,469,0.05714019302426095
309,45,532,0.06886345454861134
310,45,459,0.07057563610780246
